Removed Pin From Net: NetName=+5V Pin=C2-1
Removed Pin From Net: NetName=+5V Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C4-2
Removed Pin From Net: NetName=+5V Pin=C5-1
Removed Pin From Net: NetName=+3V3 Pin=C6-1
Removed Pin From Net: NetName=GND Pin=D1-2
Removed Pin From Net: NetName=+5_USB_IN Pin=D1-5
Removed Pin From Net: NetName=+5V Pin=F1-2
Removed Pin From Net: NetName=+3V3 Pin=R4-1
Removed Pin From Net: NetName=Net3V3_2 Pin=R8-1
Removed Pin From Net: NetName=+3V3 Pin=R8-2
Removed Pin From Net: NetName=Net5V_2 Pin=R9-1
Removed Pin From Net: NetName=+5V Pin=R9-2
Removed Pin From Net: NetName=+5V Pin=R27-2
Removed Pin From Net: NetName=RX-LED Pin=RX_LED-1
Removed Pin From Net: NetName=TX-LED Pin=TX_LED-1
Removed Pin From Net: NetName=UART_DTR Pin=U1-1
Removed Pin From Net: NetName=UART_RTS Pin=U1-2
Removed Pin From Net: NetName=ESP32_TX Pin=U1-4
Removed Pin From Net: NetName=GND Pin=U1-6
Removed Pin From Net: NetName=TX-LED Pin=U1-10
Removed Pin From Net: NetName=+5V Pin=U1-15
Removed Pin From Net: NetName=GND Pin=U1-16
Removed Pin From Net: NetName=RX-LED Pin=U1-17
Removed Pin From Net: NetName=ESP32_RX Pin=U1-20
Removed Pin From Net: NetName=+5V Pin=U2-1
Removed Pin From Net: NetName=GND Pin=U2-2
Removed Pin From Net: NetName=+3V3 Pin=U2-5
Removed Member From Class: ClassName=USB-ESP32 Member=D1
Removed Member From Class: ClassName=USB-ESP32 Member=R9
Removed Member From Class: ClassName=USB-ESP32 Member=R27
Removed Member From Class: ClassName=USB-ESP32 Member=RX_LED
Removed Member From Class: ClassName=USB-ESP32 Member=TX_LED
Change Component Footprint: Designator=F1 Old Footprint=FP-0466-MFG New Footprint=FP-437-MFG
Change Component Footprint: Designator=C4 Old Footprint=FP-C0805C-DN-MFG New Footprint=CAPC2013X145X50LL20T25
Change Component Footprint: Designator=C6 Old Footprint=FP-GRM21B-0_1-IPC_C New Footprint=FP-0805-L_2_01_0_2-W_1_25-MFG
Change Component Footprint: Designator=C5 Old Footprint=FP-GRM21B-0_1-IPC_C New Footprint=FP-C0805C-DN-MFG
Change Component Footprint: Designator=U2 Old Footprint=FP-SOT25-IPC_A New Footprint=FP-DRY0006A-MFG
Change Component Footprint: Designator=U1 Old Footprint=FP-SSOP-20-MFG New Footprint=FP-CP2104-F03-GM-MFG
Change Component Footprint: Designator=R3 Old Footprint=RESC2013X60X40ML20T25 New Footprint=RESC2013X60X35ML10T20
Change Component Footprint: Designator=R4 Old Footprint=RESC2013X60X40ML20T25 New Footprint=RESC2013X60X35ML10T20
Change Component Comment : Designator=C4 Old Comment=0.1uF 50V 0805 New Comment=1uF 16V 0805
Change Component Comment : Designator=R8 Old Comment=1K 5% 0805 New Comment=10K 5% 0805
Change Component Comment : Designator=C5 Old Comment=10uF 16V 0805 New Comment=0.1uF 50V 0805
Change Component Comment : Designator=C6 Old Comment=10uF 16V 0805 New Comment=4.7uF 16V 0805
Change Component Comment : Designator=R3 Old Comment=330R 5% 0805 New Comment=1k 5% 0805
Change Component Comment : Designator=R4 Old Comment=330R 5% 0805 New Comment=1k 5% 0805
Change Component Comment : Designator=F1 Old Comment=0466003.NR New Comment=0437003.WR
Change Component Comment : Designator=U2 Old Comment=AP2112K-3.3TRG1 New Comment=TPD4S012DRYR
Change Component Comment : Designator=U1 Old Comment=FT231XS-R New Comment=CP2104-F03-GM
Change Managed Component Library Link : Designator=C4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B91B1D43-35F9-4052-88B2-A331848DF858 New ItemGUID=10B375A3-CCD4-4102-830B-DE8B7F93BBC4 Old RevisionGUID=D4B48F47-C1CF-4A42-8D32-772F79B808E3 New RevisionGUID=B9696AE6-7F60-466D-A599-066B2EF42019
Change Managed Component Library Link : Designator=C5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=96E1FC29-823C-4DFE-A5F9-AD0FB27C16C2 New ItemGUID=B91B1D43-35F9-4052-88B2-A331848DF858 Old RevisionGUID=D769A791-3307-4056-9341-90AFE26D35D2 New RevisionGUID=D4B48F47-C1CF-4A42-8D32-772F79B808E3
Change Managed Component Library Link : Designator=C6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=96E1FC29-823C-4DFE-A5F9-AD0FB27C16C2 New ItemGUID=62809D56-37B0-4290-8FAB-A2FF31F1E892 Old RevisionGUID=D769A791-3307-4056-9341-90AFE26D35D2 New RevisionGUID=B67E202E-0CF2-487E-B6D2-41EE7A2E478A
Change Managed Component Library Link : Designator=F1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2CBF115F-0D6B-4830-BBD4-3DC09C7AA2C9 New ItemGUID=998A9C74-4C02-4209-9D81-D4230E37A50A Old RevisionGUID=BD8E016B-81F1-4609-AD43-47B644C0B530 New RevisionGUID=D9C7184A-C8B0-4882-82DE-2828EA975266
Change Managed Component Library Link : Designator=R3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7FF389D5-8BFD-4FA0-B486-A3BF9001C7DD New ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 Old RevisionGUID=96639190-B7D9-4EC9-A92B-2C0B17D80D03 New RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050
Change Managed Component Library Link : Designator=R4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7FF389D5-8BFD-4FA0-B486-A3BF9001C7DD New ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 Old RevisionGUID=96639190-B7D9-4EC9-A92B-2C0B17D80D03 New RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=ADD0928D-49F6-4364-92EC-1D8E643195A2 New ItemGUID=7E2BFC82-6D41-4E60-8712-23102959DA8A Old RevisionGUID=9653BFC7-5483-438C-B94C-E25966BF6CFB New RevisionGUID=5B703C02-FFD1-4165-AF14-68D5E4858599
Change Managed Component Library Link : Designator=U2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=4C020152-9229-455A-93BD-7C6EB563F238 New ItemGUID=B3EA47DB-49AB-4917-826B-F46DCD681211 Old RevisionGUID=2A5E9406-9AB7-43E0-9592-C03FD7D0BD29 New RevisionGUID=34C9BC2D-255F-4763-A384-E87A974FA6C6
Change component parameters: Designator = "C4" ("C4"); Footprint = "FP-C0805C-DN-MFG"; UniqueID = "\ZIXHSFTX" ("\ZIXHSFTX")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "C0805C105K4PACTU"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "FP-GRM21B-0_1-IPC_C"; UniqueID = "\XJKZZEWL" ("\XJKZZEWL")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "0.10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CAP CER 0.1UF 50V X7R 0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.88mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC200125X78"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0805C104K5RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Cap Ceramic 0.1uF 50V X7R 10% SMD 2.0 x 1.2 mm 125 C Paper T/R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0805c104k5ractu-kemet-143926"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "C0805C-DN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristic"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "FP-GRM21B-0_1-IPC_C"; UniqueID = "\PDSRWCMI" ("\PDSRWCMI")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "4.7uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = "3.5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.52mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2.01mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.06inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "F1" ("F1"); Footprint = "FP-0466-MFG"; UniqueID = "\EYOAPHUQ" ("\EYOAPHUQ")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Fuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_437_datasheet.pdf.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Circuit Protection"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Fuses"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "FUSE BRD MNT 3A 32VAC 35VDC 1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Blow Speed"; Value = "Fast"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Current"; Value = "3A"; VariantName = "[No Variations]"
