Removed Pin From Net: NetName=BAT_PACK_8V4_N Pin=Q4-S2
Removed Pin From Net: NetName=NetQ5_1 Pin=Q5-3
Removed Pin From Net: NetName=GND Pin=Q5-4
Removed Pin From Net: NetName=GND Pin=Q5-5
Removed Pin From Net: NetName=BAT_PACK_8V4_N Pin=Q5-6
Removed Pin From Net: NetName=GND Pin=Q5-7
Removed Pin From Net: NetName=BAT_PACK_12V6_N Pin=Q5-8
Removed Member From Class: ClassName=POWER_REG Member=U?
Change Component Footprint: Designator=Q5 Old Footprint=FP-ACPL-227-50BE-IPC_C New Footprint=ONSC-SC-75-3-463-01_V
Change Component Footprint: Designator=R43 Old Footprint=RESC2013X60X35LL10T20 New Footprint=RESC2013X60X35ML10T20
Change Component Comment : Designator=R43 Old Comment=330R 5% 0805 New Comment=1k 5% 0805
Change Component Comment : Designator=Q5 Old Comment=ACPL-227-50BE New Comment=MMBT2222ATT1G
Change Managed Component Library Link : Designator=Q5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=746CF88E-B402-47DB-BD36-C028EE570F3A New ItemGUID=6B433432-AFC1-46E1-BD3A-462D664E8C7D Old RevisionGUID=51122E40-88D7-49E3-8638-F53E191D8FD3 New RevisionGUID=BF6EB0A7-C664-4AFD-AC63-E22757B942A0
Change Managed Component Library Link : Designator=R43 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B2906FFB-4732-4FBD-934A-E7EE4BEC92E0 New ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 Old RevisionGUID=D3549AE3-1ABE-4333-AE9F-C5B191AE3BAB New RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050
Change component parameters: Designator = "Q5" ("Q5"); Footprint = "FP-ACPL-227-50BE-IPC_C"; UniqueID = "\JSTAVQTF" ("\JSTAVQTF")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.onsemi.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.onsemi.cn/pub_link/Collateral/MMBT2222ATT1-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.onsemi.com/pub_link/Collateral/463-01.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "fT Min (MHz)"; Value = "300"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "IC Continuous (A)"; Value = "0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "On Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "3-Pin Small Outline Transistor, Body 1.6 x 0.8 mm, Pitch 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "SC-75-3-463-01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "Rev. F, 07/2005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packing"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "MMBT2222ATT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "NPN"; VariantName = "[No Variations]"
